User ID,Device ID,Device,Interaction Type,Status,Timestamp
7,SSC2770,Smart Security Camera,rotate camera,idle,2024-12-15 00:58:35
4,SH09730,Smart Hub,add new device,connected,2024-12-15 01:35:35
1,SCM6138,Smart Coffee Machine,check coffee level,idle,2024-12-15 00:55:35
5,SSC7433,Smart Security Camera,stop recording,recording,2024-12-15 01:29:35
3,SLK8667,Smart Lock,check status,locking in progress,2024-12-15 01:19:35
2,SCM8080,Smart Coffee Machine,check coffee level,brewing,2024-12-15 01:21:35
5,SSC9727,Smart Security Camera,rotate camera,idle,2024-12-15 01:32:35
9,SSC9852,Smart Security Camera,rotate camera,recording,2024-12-15 01:21:35
9,SP01377,Smart Plug,check power consumption,on,2024-12-15 00:45:35
5,SSC5541,Smart Security Camera,stop recording,recording,2024-12-15 01:04:35
6,SCM8412,Smart Coffee Machine,check coffee level,idle,2024-12-15 01:00:35
1,V002293,Vacuum,stop cleaning,cleaning,2024-12-15 01:16:35
2,SLK0841,Smart Lock,check status,locking in progress,2024-12-15 01:19:35
3,SLK0228,Smart Lock,lock,locking in progress,2024-12-15 01:30:35
9,SSC5617,Smart Security Camera,rotate camera,idle,2024-12-15 01:40:35
2,T009257,TV,channel change,on,2024-12-15 00:51:35
4,SSC1263,Smart Security Camera,rotate camera,idle,2024-12-15 01:28:35
6,SSC9415,Smart Security Camera,stop recording,recording,2024-12-15 01:30:35
1,F009507,Fridge,door open,powered on,2024-12-15 01:05:35
4,V002421,Vacuum,stop cleaning,cleaning,2024-12-15 01:14:35
3,V009282,Vacuum,stop cleaning,cleaning,2024-12-15 01:27:35
1,T003283,TV,mute,on,2024-12-15 01:04:35
4,SL06794,Smart Light,mode change,on,2024-12-15 00:51:35
7,SCM8987,Smart Coffee Machine,check coffee level,idle,2024-12-15 00:55:35
1,SS01057,Smart Scale,measure weight,measuring,2024-12-15 00:54:35
8,SL01150,Smart Light,brightness change,on,2024-12-15 00:50:35
6,SLK0143,Smart Lock,check status,locking in progress,2024-12-15 00:52:35
8,T000786,TV,volume change,on,2024-12-15 01:38:35
8,SL01017,Smart Light,brightness change,on,2024-12-15 01:23:35
2,SLK5675,Smart Lock,check status,unlocked,2024-12-15 00:47:35
9,SP09982,Smart Plug,check power consumption,on,2024-12-15 00:59:35
8,SS01947,Smart Scale,measure weight,measuring,2024-12-15 00:47:35
9,V000912,Vacuum,start cleaning,idle,2024-12-15 00:51:35
7,SP07980,Smart Plug,check power consumption,on,2024-12-15 00:47:35
5,AC08903,Air Conditioner,fan speed change,powered on,2024-12-15 00:54:35
1,SS03765,Smart Scale,check BMI,idle,2024-12-15 01:21:35
1,SS09799,Smart Scale,check BMI,measuring,2024-12-15 01:11:35
6,SP04548,Smart Plug,check power consumption,on,2024-12-15 00:59:35
